date,indicator_code,value,country
1995-01-16,OIL,50.71,OIL
1995-01-16,COPPER,3000.02,CPR
1995-01-16,EURUSD,0.854567,EU
1995-01-16,HIBOR,2.0028,HK
1995-01-17,FEDFUNDS,5.0683,US
1995-01-17,CPI,2.4739,US
1995-01-17,M2,10993.89,US
1995-01-17,GOLD,400.65,GLD
1995-01-17,OIL,51.4,OIL
1995-01-17,COPPER,2991.6,CPR
1995-01-17,EURUSD,0.851981,EU
1995-01-17,HIBOR,2.0059,HK
1995-01-18,FEDFUNDS,5.0767,US
1995-01-18,CPI,2.5142,US
1995-01-18,M2,11002.6,US
1995-01-18,GOLD,398.96,GLD
1995-01-18,OIL,49.0,OIL
1995-01-18,COPPER,3000.98,CPR
1995-01-18,EURUSD,0.849617,EU
1995-01-18,HIBOR,2.0202,HK
1995-01-19,FEDFUNDS,4.9694,US
1995-01-19,CPI,2.5064,US
1995-01-19,M2,10921.55,US
1995-01-19,GOLD,399.21,GLD
1995-01-19,OIL,50.21,OIL
1995-01-19,COPPER,3004.12,CPR
1995-01-19,EURUSD,0.852896,EU
1995-01-19,HIBOR,1.9996,HK
1995-01-20,FEDFUNDS,4.9441,US
1995-01-20,CPI,2.5092,US
1995-01-20,M2,11025.85,US
1995-01-20,GOLD,400.98,GLD
1995-01-20,OIL,49.44,OIL
1995-01-20,COPPER,3005.67,CPR
1995-01-20,EURUSD,0.850176,EU
1995-01-20,HIBOR,2.007,HK
1995-01-21,FEDFUNDS,5.0637,US
1995-01-21,CPI,2.5122,US
1995-01-21,M2,11014.33,US
1995-01-21,GOLD,404.31,GLD
1995-01-21,OIL,50.19,OIL
1995-01-21,COPPER,2998.52,CPR
1995-01-21,EURUSD,0.850224,EU
1995-01-21,HIBOR,2.0148,HK
1995-01-22,FEDFUNDS,5.0059,US
1995-01-22,CPI,2.5104,US
1995-01-22,M2,11059.79,US
1995-01-22,GOLD,398.97,GLD
1995-01-22,OIL,48.62,OIL
1995-01-22,COPPER,3001.5,CPR
1995-01-22,EURUSD,0.850459,EU
1995-01-22,HIBOR,1.9939,HK
1995-01-23,FEDFUNDS,5.0436,US
1995-01-23,CPI,2.5122,US
1995-01-23,M2,10950.25,US
1995-01-23,GOLD,401.04,GLD
1995-01-23,OIL,49.84,OIL
1995-01-23,COPPER,2992.58,CPR
1995-01-23,EURUSD,0.850906,EU
1995-01-23,HIBOR,1.9995,HK
1995-01-24,FEDFUNDS,4.9627,US
1995-01-24,CPI,2.5105,US
1995-01-24,M2,11024.4,US
1995-01-24,GOLD,398.84,GLD
1995-01-24,OIL,50.32,OIL
1995-01-24,COPPER,3005.08,CPR
1995-01-24,EURUSD,0.848575,EU
1995-01-24,HIBOR,2.0038,HK
1995-01-25,FEDFUNDS,5.0001,US
1995-01-25,CPI,2.5453,US
1995-01-25,M2,10906.88,US
1995-01-25,GOLD,401.39,GLD
1995-01-25,OIL,49.76,OIL
1995-01-25,COPPER,2999.5,CPR
1995-01-25,EURUSD,0.853803,EU
1995-01-25,HIBOR,1.9999,HK
1995-01-26,FEDFUNDS,5.112,US
1995-01-26,CPI,2.4912,US
1995-01-26,M2,11017.53,US
1995-01-26,GOLD,399.02,GLD
1995-01-26,OIL,49.45,OIL
1995-01-26,COPPER,3000.31,CPR
1995-01-26,EURUSD,0.849435,EU
1995-01-26,HIBOR,2.002,HK
1995-01-27,FEDFUNDS,4.8947,US
1995-01-27,CPI,2.54,US
1995-01-27,M2,10991.65,US
1995-01-27,GOLD,403.49,GLD
1995-01-27,OIL,49.19,OIL
1995-01-27,COPPER,3001.46,CPR
1995-01-27,EURUSD,0.85633,EU
1995-01-27,HIBOR,1.9913,HK
1995-01-28,FEDFUNDS,4.9252,US
1995-01-28,CPI,2.4891,US
1995-01-28,M2,11023.62,US
1995-01-28,GOLD,401.39,GLD
1995-01-28,OIL,51.03,OIL
1995-01-28,COPPER,2998.71,CPR
1995-01-28,EURUSD,0.846795,EU
1995-01-28,HIBOR,1.9956,HK
1995-01-29,FEDFUNDS,5.062,US
1995-01-29,CPI,2.5093,US
1995-01-29,M2,10902.15,US
1995-01-29,GOLD,399.93,GLD
1995-01-29,OIL,51.12,OIL
1995-01-29,COPPER,3010.63,CPR
1995-01-29,EURUSD,0.851123,EU
1995-01-29,HIBOR,2.0031,HK
1995-01-30,FEDFUNDS,4.938,US
1995-01-30,CPI,2.4831,US
1995-01-30,M2,11002.35,US
1995-01-30,GOLD,401.01,GLD
1995-01-30,OIL,50.46,OIL
1995-01-30,COPPER,2997.61,CPR
1995-01-30,EURUSD,0.847696,EU
1995-01-30,HIBOR,1.9922,HK
1995-01-31,FEDFUNDS,4.9422,US
1995-01-31,CPI,2.5129,US
1995-01-31,M2,10884.39,US
1995-01-31,GOLD,399.33,GLD
1995-01-31,OIL,50.36,OIL
1995-01-31,COPPER,3007.61,CPR
1995-01-31,EURUSD,0.850143,EU
1995-01-31,HIBOR,2.01,HK
1995-02-01,FEDFUNDS,4.98,US
1995-02-01,CPI,2.4851,US
1995-02-01,M2,10966.28,US
1995-02-01,GOLD,403.05,GLD
1995-02-01,OIL,50.8,OIL
1995-02-01,COPPER,3002.44,CPR
1995-02-01,EURUSD,0.856661,EU
1995-02-01,HIBOR,1.9997,HK
1995-02-02,FEDFUNDS,5.031,US
1995-02-02,CPI,2.5062,US
1995-02-02,M2,10988.91,US
1995-02-02,GOLD,404.63,GLD
1995-02-02,OIL,51.21,OIL
1995-02-02,COPPER,2993.0,CPR
1995-02-02,EURUSD,0.8492,EU
1995-02-02,HIBOR,2.0043,HK
1995-02-03,FEDFUNDS,5.0392,US
1995-02-03,CPI,2.473,US
1995-02-03,M2,10887.22,US
1995-02-03,GOLD,396.19,GLD
1995-02-03,OIL,49.94,OIL
1995-02-03,COPPER,2999.48,CPR
1995-02-03,EURUSD,0.85069,EU
1995-02-03,HIBOR,1.9923,HK
1995-02-04,FEDFUNDS,4.9388,US
1995-02-04,CPI,2.4595,US
1995-02-04,M2,11016.46,US
1995-02-04,GOLD,400.74,GLD
1995-02-04,OIL,50.79,OIL
1995-02-04,COPPER,3003.95,CPR
1995-02-04,EURUSD,0.849619,EU
1995-02-04,HIBOR,2.0135,HK
1995-02-05,FEDFUNDS,4.9932,US
1995-02-05,CPI,2.4868,US
1995-02-05,M2,10973.97,US
1995-02-05,GOLD,398.83,GLD
1995-02-05,OIL,48.27,OIL
1995-02-05,COPPER,3000.78,CPR
1995-02-05,EURUSD,0.8505,EU
1995-02-05,HIBOR,1.9964,HK
1995-02-06,FEDFUNDS,4.9643,US
1995-02-06,CPI,2.5074,US
1995-02-06,M2,11085.84,US
1995-02-06,GOLD,400.08,GLD
1995-02-06,OIL,49.59,OIL
1995-02-06,COPPER,2997.04,CPR
1995-02-06,EURUSD,0.84986,EU
1995-02-06,HIBOR,1.9874,HK
1995-02-07,FEDFUNDS,4.9937,US
1995-02-07,CPI,2.5012,US
1995-02-07,M2,11092.23,US
1995-02-07,GOLD,401.89,GLD
1995-02-07,OIL,50.83,OIL
1995-02-07,COPPER,2996.44,CPR
1995-02-07,EURUSD,0.85134,EU
1995-02-07,HIBOR,1.9886,HK
1995-02-08,FEDFUNDS,5.0156,US
1995-02-08,CPI,2.5084,US
1995-02-08,M2,10961.68,US
1995-02-08,GOLD,404.0,GLD
1995-02-08,OIL,50.45,OIL
1995-02-08,COPPER,2990.49,CPR
1995-02-08,EURUSD,0.851106,EU
1995-02-08,HIBOR,1.9959,HK
1995-02-09,FEDFUNDS,5.0001,US
1995-02-09,CPI,2.5093,US
1995-02-09,M2,11019.53,US
1995-02-09,GOLD,395.92,GLD
1995-02-09,OIL,49.07,OIL
1995-02-09,COPPER,3003.86,CPR
1995-02-09,EURUSD,0.852602,EU
1995-02-09,HIBOR,2.019,HK
1995-02-10,FEDFUNDS,5.0902,US
1995-02-10,CPI,2.4589,US
1995-02-10,M2,11038.47,US
1995-02-10,GOLD,396.17,GLD
1995-02-10,OIL,51.29,OIL
1995-02-10,COPPER,3001.27,CPR
1995-02-10,EURUSD,0.847718,EU
1995-02-10,HIBOR,2.0201,HK
1995-02-11,FEDFUNDS,5.0322,US
1995-02-11,CPI,2.4622,US
1995-02-11,M2,11014.67,US
1995-02-11,GOLD,398.54,GLD
1995-02-11,OIL,50.09,OIL
1995-02-11,COPPER,2997.67,CPR
1995-02-11,EURUSD,0.852747,EU
1995-02-11,HIBOR,1.9858,HK
1995-02-12,FEDFUNDS,5.0159,US
1995-02-12,CPI,2.5363,US
1995-02-12,M2,10958.65,US
1995-02-12,GOLD,400.42,GLD
1995-02-12,OIL,50.16,OIL
1995-02-12,COPPER,2996.55,CPR
1995-02-12,EURUSD,0.851296,EU
1995-02-12,HIBOR,2.001,HK
1995-02-13,FEDFUNDS,4.9528,US
1995-02-13,CPI,2.5352,US
1995-02-13,M2,11039.58,US
1995-02-13,GOLD,399.67,GLD
1995-02-13,OIL,49.49,OIL
1995-02-13,COPPER,2996.08,CPR
1995-02-13,EURUSD,0.852462,EU
1995-02-13,HIBOR,1.9985,HK
1995-02-14,FEDFUNDS,5.023,US
1995-02-14,CPI,2.4963,US
1995-02-14,M2,11030.82,US
1995-02-14,GOLD,399.77,GLD
1995-02-14,OIL,50.61,OIL
1995-02-14,COPPER,2999.08,CPR
1995-02-14,EURUSD,0.851659,EU
1995-02-14,HIBOR,2.0067,HK
1995-02-15,FEDFUNDS,4.9942,US
1995-02-15,CPI,2.4828,US
1995-02-15,M2,10952.99,US
1995-02-15,GOLD,398.52,GLD
1995-02-15,OIL,49.21,OIL
1995-02-15,COPPER,3004.33,CPR
1995-02-15,EURUSD,0.849907,EU
1995-02-15,HIBOR,2.0157,HK
1995-02-16,FEDFUNDS,5.114,US
1995-02-16,CPI,2.5005,US
1995-02-16,M2,10922.6,US
1995-02-16,GOLD,399.24,GLD
1995-02-16,OIL,49.94,OIL
1995-02-16,COPPER,2992.56,CPR
1995-02-16,EURUSD,0.849499,EU
1995-02-16,HIBOR,2.0029,HK
1995-02-17,FEDFUNDS,4.977,US
1995-02-17,CPI,2.4846,US
1995-02-17,M2,10962.06,US
1995-02-17,GOLD,403.57,GLD
1995-02-17,OIL,49.87,OIL
1995-02-17,COPPER,2995.85,CPR
1995-02-17,EURUSD,0.849254,EU
1995-02-17,HIBOR,2.0095,HK
1995-02-18,FEDFUNDS,4.9658,US
1995-02-18,CPI,2.5096,US
1995-02-18,M2,11036.39,US
1995-02-18,GOLD,401.5,GLD
1995-02-18,OIL,51.12,OIL
1995-02-18,COPPER,2997.25,CPR
1995-02-18,EURUSD,0.852265,EU
1995-02-18,HIBOR,1.9921,HK
1995-02-19,FEDFUNDS,4.9802,US
1995-02-19,CPI,2.5239,US
1995-02-19,M2,11041.12,US
1995-02-19,GOLD,400.0,GLD
1995-02-19,OIL,49.05,OIL
1995-02-19,COPPER,3002.81,CPR
1995-02-19,EURUSD,0.848739,EU
1995-02-19,HIBOR,1.9908,HK
1995-02-20,FEDFUNDS,4.9676,US
1995-02-20,CPI,2.5049,US
1995-02-20,M2,10893.95,US
1995-02-20,GOLD,400.72,GLD
1995-02-20,OIL,50.14,OIL
1995-02-20,COPPER,2997.08,CPR
1995-02-20,EURUSD,0.852074,EU
1995-02-20,HIBOR,2.0061,HK
1995-02-21,FEDFUNDS,4.9697,US
1995-02-21,CPI,2.4866,US
1995-02-21,M2,11034.76,US
1995-02-21,GOLD,396.97,GLD
1995-02-21,OIL,49.73,OIL
1995-02-21,COPPER,2996.84,CPR
1995-02-21,EURUSD,0.85014,EU
1995-02-21,HIBOR,2.0021,HK
1995-02-22,FEDFUNDS,5.0018,US
1995-02-22,CPI,2.5227,US
1995-02-22,M2,11011.4,US
1995-02-22,GOLD,399.37,GLD
1995-02-22,OIL,49.03,OIL
1995-02-22,COPPER,3003.61,CPR
1995-02-22,EURUSD,0.851056,EU
1995-02-22,HIBOR,2.0145,HK
1995-02-23,FEDFUNDS,4.9626,US
1995-02-23,CPI,2.5005,US
1995-02-23,M2,10997.07,US
1995-02-23,GOLD,399.82,GLD
1995-02-23,OIL,50.01,OIL
1995-02-23,COPPER,2991.43,CPR
1995-02-23,EURUSD,0.85165,EU
1995-02-23,HIBOR,2.0065,HK
1995-02-24,FEDFUNDS,5.0565,US
1995-02-24,CPI,2.545,US
1995-02-24,M2,10984.05,US
1995-02-24,GOLD,399.93,GLD
1995-02-24,OIL,50.01,OIL
1995-02-24,COPPER,3009.71,CPR
1995-02-24,EURUSD,0.846538,EU
1995-02-24,HIBOR,2.0049,HK
1995-02-25,FEDFUNDS,4.9265,US
1995-02-25,CPI,2.4484,US
1995-02-25,M2,10898.96,US
1995-02-25,GOLD,397.24,GLD
1995-02-25,OIL,50.86,OIL
1995-02-25,COPPER,2995.66,CPR
1995-02-25,EURUSD,0.849545,EU
1995-02-25,HIBOR,1.9884,HK
1995-02-26,FEDFUNDS,5.0305,US
1995-02-26,CPI,2.478,US
1995-02-26,M2,11065.88,US
1995-02-26,GOLD,398.01,GLD
1995-02-26,OIL,49.39,OIL
1995-02-26,COPPER,3000.61,CPR
1995-02-26,EURUSD,0.850049,EU
1995-02-26,HIBOR,2.0142,HK
1995-02-27,FEDFUNDS,5.006,US
1995-02-27,CPI,2.4758,US
1995-02-27,M2,10971.98,US
1995-02-27,GOLD,398.85,GLD
1995-02-27,OIL,50.58,OIL
1995-02-27,COPPER,3001.92,CPR
1995-02-27,EURUSD,0.849761,EU
1995-02-27,HIBOR,2.0087,HK
1995-02-28,FEDFUNDS,4.9736,US
1995-02-28,CPI,2.4973,US
1995-02-28,M2,11009.04,US
1995-02-28,GOLD,403.06,GLD
1995-02-28,OIL,49.92,OIL
1995-02-28,COPPER,2998.25,CPR
1995-02-28,EURUSD,0.847908,EU
1995-02-28,HIBOR,2.0069,HK
1995-03-01,FEDFUNDS,4.9706,US
1995-03-01,CPI,2.5069,US
1995-03-01,M2,10904.92,US
1995-03-01,GOLD,402.09,GLD
1995-03-01,OIL,48.93,OIL
1995-03-01,COPPER,2996.11,CPR
1995-03-01,EURUSD,0.852117,EU
1995-03-01,HIBOR,1.9867,HK
1995-03-02,FEDFUNDS,4.996,US
1995-03-02,CPI,2.5015,US
1995-03-02,M2,10950.07,US
1995-03-02,GOLD,402.69,GLD
1995-03-02,OIL,51.2,OIL
1995-03-02,COPPER,2990.14,CPR
1995-03-02,EURUSD,0.847102,EU
1995-03-02,HIBOR,2.0081,HK
1995-03-03,FEDFUNDS,4.9348,US
1995-03-03,CPI,2.4922,US
1995-03-03,M2,11006.48,US
1995-03-03,GOLD,401.38,GLD
1995-03-03,OIL,49.82,OIL
1995-03-03,COPPER,3000.48,CPR
1995-03-03,EURUSD,0.848447,EU
1995-03-03,HIBOR,2.0129,HK
1995-03-04,FEDFUNDS,4.9752,US
1995-03-04,CPI,2.5068,US
1995-03-04,M2,10974.42,US
1995-03-04,GOLD,400.21,GLD
1995-03-04,OIL,49.87,OIL
1995-03-04,COPPER,2999.19,CPR
1995-03-04,EURUSD,0.847972,EU
1995-03-04,HIBOR,2.008,HK
1995-03-05,FEDFUNDS,5.0707,US
1995-03-05,CPI,2.5049,US
1995-03-05,M2,11036.62,US
1995-03-05,GOLD,401.68,GLD
1995-03-05,OIL,50.74,OIL
1995-03-05,COPPER,3001.52,CPR
1995-03-05,EURUSD,0.850425,EU
1995-03-05,HIBOR,2.0086,HK
1995-03-06,FEDFUNDS,5.0034,US
1995-03-06,CPI,2.4805,US
1995-03-06,M2,11001.19,US
1995-03-06,GOLD,396.22,GLD
1995-03-06,OIL,50.0,OIL
1995-03-06,COPPER,3002.07,CPR
1995-03-06,EURUSD,0.852472,EU
1995-03-06,HIBOR,2.0015,HK
1995-03-07,FEDFUNDS,5.0464,US
1995-03-07,CPI,2.5,US
1995-03-07,M2,10948.83,US
1995-03-07,GOLD,397.18,GLD
1995-03-07,OIL,49.22,OIL
1995-03-07,COPPER,2993.17,CPR
1995-03-07,EURUSD,0.851267,EU
1995-03-07,HIBOR,1.9979,HK
1995-03-08,FEDFUNDS,5.0285,US
1995-03-08,CPI,2.5015,US
1995-03-08,M2,11052.2,US
1995-03-08,GOLD,402.12,GLD
1995-03-08,OIL,49.48,OIL
1995-03-08,COPPER,2998.63,CPR
1995-03-08,EURUSD,0.848934,EU
1995-03-08,HIBOR,1.9838,HK
1995-03-09,FEDFUNDS,5.0338,US
1995-03-09,CPI,2.5238,US
1995-03-09,M2,10999.68,US
1995-03-09,GOLD,399.01,GLD
1995-03-09,OIL,50.87,OIL
1995-03-09,COPPER,2988.28,CPR
1995-03-09,EURUSD,0.850355,EU
1995-03-09,HIBOR,2.0014,HK
1995-03-10,FEDFUNDS,4.9715,US
1995-03-10,CPI,2.5278,US
1995-03-10,M2,11048.54,US
1995-03-10,GOLD,399.48,GLD
1995-03-10,OIL,49.93,OIL
1995-03-10,COPPER,2998.06,CPR
1995-03-10,EURUSD,0.848976,EU
1995-03-10,HIBOR,1.9869,HK
1995-03-11,FEDFUNDS,5.069,US
1995-03-11,CPI,2.5206,US
1995-03-11,M2,11039.91,US
1995-03-11,GOLD,397.81,GLD
1995-03-11,OIL,51.66,OIL
1995-03-11,COPPER,3009.9,CPR
1995-03-11,EURUSD,0.850376,EU
1995-03-11,HIBOR,1.991,HK
1995-03-12,FEDFUNDS,4.9567,US
1995-03-12,CPI,2.5084,US
1995-03-12,M2,10954.35,US
1995-03-12,GOLD,399.93,GLD
1995-03-12,OIL,50.87,OIL
1995-03-12,COPPER,2992.47,CPR
1995-03-12,EURUSD,0.854011,EU
1995-03-12,HIBOR,2.0157,HK
1995-03-13,FEDFUNDS,4.9381,US
1995-03-13,CPI,2.4717,US
1995-03-13,M2,10985.83,US
1995-03-13,GOLD,397.94,GLD
1995-03-13,OIL,49.79,OIL
1995-03-13,COPPER,2987.09,CPR
1995-03-13,EURUSD,0.849543,EU
1995-03-13,HIBOR,2.018,HK
1995-03-14,FEDFUNDS,4.9442,US
1995-03-14,CPI,2.4945,US
1995-03-14,M2,10925.52,US
1995-03-14,GOLD,401.28,GLD
1995-03-14,OIL,49.82,OIL
1995-03-14,COPPER,3009.7,CPR
1995-03-14,EURUSD,0.850414,EU
1995-03-14,HIBOR,1.9963,HK
1995-03-15,FEDFUNDS,5.0275,US
1995-03-15,CPI,2.4899,US
1995-03-15,M2,10933.03,US
1995-03-15,GOLD,400.6,GLD
1995-03-15,OIL,49.86,OIL
1995-03-15,COPPER,3000.83,CPR
1995-03-15,EURUSD,0.850751,EU
1995-03-15,HIBOR,1.9949,HK
1995-03-16,FEDFUNDS,5.0211,US
1995-03-16,CPI,2.5348,US
1995-03-16,M2,10944.61,US
1995-03-16,GOLD,403.47,GLD
1995-03-16,OIL,49.81,OIL
1995-03-16,COPPER,2996.17,CPR
1995-03-16,EURUSD,0.854854,EU
1995-03-16,HIBOR,2.0016,HK
1995-03-17,FEDFUNDS,5.0685,US
1995-03-17,CPI,2.5164,US
1995-03-17,M2,10915.97,US
1995-03-17,GOLD,400.24,GLD
1995-03-17,OIL,49.58,OIL
1995-03-17,COPPER,2993.29,CPR
1995-03-17,EURUSD,0.846457,EU
1995-03-17,HIBOR,2.001,HK
1995-03-18,FEDFUNDS,5.0295,US
1995-03-18,CPI,2.5078,US
1995-03-18,M2,10984.71,US
1995-03-18,GOLD,398.4,GLD
1995-03-18,OIL,49.21,OIL
1995-03-18,COPPER,2997.22,CPR
1995-03-18,EURUSD,0.847934,EU
1995-03-18,HIBOR,1.998,HK
1995-03-19,FEDFUNDS,4.9989,US
1995-03-19,CPI,2.4821,US
1995-03-19,M2,10988.4,US
1995-03-19,GOLD,398.48,GLD
1995-03-19,OIL,50.0,OIL
1995-03-19,COPPER,3002.54,CPR
1995-03-19,EURUSD,0.850356,EU
1995-03-19,HIBOR,2.0047,HK
1995-03-20,FEDFUNDS,4.9174,US
1995-03-20,CPI,2.4924,US
1995-03-20,M2,11013.84,US
1995-03-20,GOLD,401.28,GLD
1995-03-20,OIL,48.72,OIL
1995-03-20,COPPER,3000.8,CPR
1995-03-20,EURUSD,0.852413,EU
1995-03-20,HIBOR,1.9982,HK
1995-03-21,FEDFUNDS,4.9953,US
1995-03-21,CPI,2.509,US
1995-03-21,M2,11012.36,US
1995-03-21,GOLD,401.35,GLD
1995-03-21,OIL,50.06,OIL
1995-03-21,COPPER,3000.76,CPR
1995-03-21,EURUSD,0.848435,EU
1995-03-21,HIBOR,1.9983,HK
1995-03-22,FEDFUNDS,5.0627,US
1995-03-22,CPI,2.4959,US
1995-03-22,M2,10991.57,US
1995-03-22,GOLD,399.02,GLD
1995-03-22,OIL,50.63,OIL
1995-03-22,COPPER,2995.73,CPR
1995-03-22,EURUSD,0.851821,EU
1995-03-22,HIBOR,1.9906,HK
1995-03-23,FEDFUNDS,4.9471,US
1995-03-23,CPI,2.5041,US
1995-03-23,M2,11006.51,US
1995-03-23,GOLD,400.6,GLD
1995-03-23,OIL,50.85,OIL
1995-03-23,COPPER,2997.94,CPR
1995-03-23,EURUSD,0.850886,EU
1995-03-23,HIBOR,1.9909,HK
1995-03-24,FEDFUNDS,5.063,US
1995-03-24,CPI,2.5126,US
1995-03-24,M2,11026.83,US
1995-03-24,GOLD,400.38,GLD
1995-03-24,OIL,49.37,OIL
1995-03-24,COPPER,2998.36,CPR
1995-03-24,EURUSD,0.851004,EU
1995-03-24,HIBOR,1.9998,HK
1995-03-25,FEDFUNDS,5.0062,US
1995-03-25,CPI,2.4728,US
1995-03-25,M2,11009.05,US
1995-03-25,GOLD,398.62,GLD
1995-03-25,OIL,49.13,OIL
1995-03-25,COPPER,2999.23,CPR
1995-03-25,EURUSD,0.846287,EU
1995-03-25,HIBOR,2.007,HK
1995-03-26,FEDFUNDS,5.0426,US
1995-03-26,CPI,2.4989,US
1995-03-26,M2,10950.31,US
1995-03-26,GOLD,398.11,GLD
1995-03-26,OIL,49.88,OIL
1995-03-26,COPPER,2987.88,CPR
1995-03-26,EURUSD,0.850361,EU
1995-03-26,HIBOR,2.0066,HK
1995-03-27,FEDFUNDS,4.9844,US
1995-03-27,CPI,2.4901,US
1995-03-27,M2,11009.1,US
1995-03-27,GOLD,400.7,GLD
1995-03-27,OIL,50.88,OIL
1995-03-27,COPPER,3000.09,CPR
1995-03-27,EURUSD,0.84862,EU
1995-03-27,HIBOR,1.9954,HK
1995-03-28,FEDFUNDS,5.0091,US
1995-03-28,CPI,2.5311,US
1995-03-28,M2,10983.99,US
1995-03-28,GOLD,397.89,GLD
1995-03-28,OIL,49.3,OIL
1995-03-28,COPPER,2989.52,CPR
1995-03-28,EURUSD,0.85066,EU
1995-03-28,HIBOR,1.9864,HK
1995-03-29,FEDFUNDS,4.9383,US
1995-03-29,CPI,2.4605,US
1995-03-29,M2,10944.1,US
1995-03-29,GOLD,401.14,GLD
