date,ticker,open,high,low,close,volume
2026-03-04,MSFT,401.265,411.0326,400.31,405.2,35807990
2026-04-02,GOOGL,290.69,298.08,289.45,295.77,21666470
2026-04-01,GOOGL,290.835,300.52,290.41,297.39,37684460
2026-03-31,GOOGL,278.04,288.08,277.09,287.56,43875400
2026-03-30,GOOGL,276.42,277.09,272.11,273.5,35141240
2026-03-27,GOOGL,277.275,279.37,273.95,274.34,35890610
2026-03-26,GOOGL,287.91,287.95,278.5,280.92,39080580
2026-03-25,GOOGL,293.44,296.0,289.24,290.93,29460670
2026-03-24,GOOGL,299.2,299.92,290.33,290.44,36864280
2026-03-23,GOOGL,302.11,305.98,300.93,302.06,29326950
2026-03-20,GOOGL,305.46,306.0,298.27,301.0,44364080
2026-03-19,GOOGL,304.005,308.06,302.35,307.13,25075830
2026-03-18,GOOGL,309.27,312.47,306.932,307.69,20009820
2026-03-17,GOOGL,305.86,311.42,305.5,310.92,21955170
2026-03-16,GOOGL,304.35,306.4886,303.0201,305.56,23519710
2026-03-13,GOOGL,307.01,307.69,300.44,302.28,23693090
2026-03-12,GOOGL,306.82,308.94,301.03,303.55,24928350
2026-03-11,GOOGL,306.75,311.42,305.92,308.7,24125710
2026-03-10,GOOGL,306.17,309.51,305.5704,307.04,23239680
2026-03-09,GOOGL,294.36,306.8,294.08,306.36,29312150
2026-03-06,GOOGL,296.09,300.53,295.18,298.52,25576920
2026-03-05,GOOGL,303.035,303.3,297.99,300.88,35752320
2026-03-04,GOOGL,302.89,305.47,300.75,303.13,29536190
2026-04-02,TSLA,364.195,370.28,359.03,360.59,83031230
2026-04-01,TSLA,378.63,383.14,374.08,381.26,58683750
2026-03-31,TSLA,361.51,373.33,361.0,371.75,75534930
2026-03-30,TSLA,365.86,367.29,352.14,355.28,67954410
2026-03-27,TSLA,369.69,369.86,359.47,361.83,62065660
2026-03-26,TSLA,381.6,384.44,371.87,372.11,55522880
2026-03-25,TSLA,389.99,396.23,385.01,385.95,55157270
2026-03-24,TSLA,376.56,387.48,376.31,383.03,60004910
2026-03-23,TSLA,373.09,385.33,372.73,380.85,74606050
2026-03-20,TSLA,379.85,379.89,364.4601,367.96,78628600
2026-03-19,TSLA,387.27,387.27,378.73,380.3,67078260
2026-03-18,TSLA,399.0,403.065,392.31,392.78,50853150
2026-03-17,TSLA,395.69,400.12,393.0,399.27,46890470
2026-03-16,TSLA,396.22,403.73,394.42,395.56,58068340
2026-03-13,TSLA,399.165,400.2,389.95,391.2,58504090
2026-03-12,TSLA,405.175,406.5,394.65,395.01,60973790
2026-03-11,TSLA,402.28,416.3799,402.15,407.82,62559930
2026-03-10,TSLA,402.22,406.59,398.19,399.235,59258740
2026-03-09,TSLA,390.05,401.59,381.4,398.68,67018910
2026-03-06,TSLA,398.09,402.35,394.21,396.73,64054560
2026-03-05,TSLA,401.57,408.62,399.42,405.55,51925900
2026-03-04,TSLA,397.845,408.33,394.58,405.94,68305510
2026-04-02,NVDA,172.18,177.49,171.37,177.39,143143200
2026-04-01,NVDA,176.0,177.37,174.75,175.75,168132000
2026-03-31,NVDA,166.97,174.62,166.96,174.4,226181300
2026-03-30,NVDA,168.78,169.45,164.27,165.17,185627000
2026-03-27,NVDA,170.0,170.97,167.01,167.52,196212700
2026-03-26,NVDA,176.07,176.51,171.14,171.24,186152200
2026-03-25,NVDA,177.1,181.22,176.85,178.68,162602100
2026-03-24,NVDA,174.83,176.22,173.98,175.2,147667800
2026-03-23,NVDA,177.255,178.37,174.76,175.64,182836300
2026-03-20,NVDA,178.0,178.26,171.72,172.7,241323500
2026-03-19,NVDA,178.01,179.98,175.785,178.56,170968500
2026-03-18,NVDA,182.48,183.38,180.33,180.4,156683100
2026-03-17,NVDA,185.06,185.4,181.6804,181.93,182497800
2026-03-16,NVDA,182.97,188.88,181.41,183.22,217307400
2026-03-13,NVDA,184.92,186.09,179.94,180.25,160988400
2026-03-12,NVDA,184.05,184.94,181.75,183.14,155762700
2026-03-11,NVDA,185.91,187.62,184.45,186.03,145280400
2026-03-10,NVDA,182.4,186.44,182.01,184.77,179118500
2026-03-09,NVDA,176.83,182.91,175.56,182.65,177213600
2026-03-06,NVDA,179.84,182.7561,176.8201,177.82,189021900
2026-03-05,NVDA,181.17,184.06,177.88,183.34,198779700
2026-03-04,NVDA,180.44,184.7,180.06,183.04,177731200
2026-04-02,META,566.035,578.5,559.7,574.46,13518550
2026-04-01,META,580.13,592.5465,573.82,579.23,23608130
2026-03-31,META,549.98,573.69,546.77,572.13,32898270
2026-03-30,META,536.38,539.55,528.54,536.38,22795200
2026-03-27,META,540.1,543.5999,520.26,525.72,30133010
2026-03-26,META,582.49,583.0,543.35,547.54,35780130
2026-03-25,META,598.74,603.67,593.4,594.89,12585030
2026-03-24,META,599.1,601.0,591.0,592.92,10739740
2026-03-23,META,605.787,608.64,599.01,604.06,13637960
2026-03-20,META,603.53,603.955,587.25,593.66,21214900
2026-03-19,META,612.15,613.0,602.26,606.7,13247700
2026-03-18,META,616.34,622.65,614.61,615.68,11726300
2026-03-17,META,627.985,636.55,621.7,622.66,10348760
2026-03-16,META,632.0,634.75,623.1004,627.45,15134850
2026-03-13,META,623.89,629.1699,609.55,613.71,18957640
2026-03-12,META,648.75,653.5,636.9,638.18,11617490
2026-03-11,META,654.76,659.12,648.36,654.86,8977162
2026-03-10,META,653.56,660.3,649.0,654.07,9859250
2026-03-09,META,634.78,647.75,626.78,647.39,13489740
2026-03-06,META,647.9,649.47,636.11,644.86,13159360
2026-03-05,META,661.93,670.7,650.31,660.57,13341370
2026-03-04,META,657.96,672.77,657.6711,667.73,10810050
2026-04-02,AMZN,206.54,212.2125,204.9,209.77,31453040
2026-04-01,AMZN,210.435,213.58,208.19,210.57,45955400
2026-03-31,AMZN,204.845,210.28,204.14,208.27,58470080
2026-03-30,AMZN,201.48,203.8,199.9802,200.95,46373800
2026-03-27,AMZN,206.455,206.6,199.14,199.34,56009760
2026-03-26,AMZN,210.61,212.885,207.12,207.54,46745980
2026-03-25,AMZN,211.56,213.07,209.9,211.71,36388790
2026-03-24,AMZN,207.95,209.35,206.64,207.24,35351430
2026-03-23,AMZN,209.79,212.8,209.51,210.14,44277360
2026-03-20,AMZN,207.4,207.54,204.316,205.37,63694600
2026-03-19,AMZN,207.06,209.12,206.05,208.76,36440620
2026-03-18,AMZN,213.925,215.1401,208.825,209.87,37846640
2026-03-17,AMZN,212.82,215.7,212.43,215.2,44969940
2026-03-16,AMZN,208.35,212.724,207.445,211.74,42209320
2026-03-13,AMZN,209.605,210.56,206.22,207.67,35662140
2026-03-12,AMZN,210.39,211.71,208.15,209.53,44349500
2026-03-11,AMZN,215.705,217.0,211.35,212.65,34199300
2026-03-10,AMZN,214.19,215.65,212.43,214.33,35678830
2026-03-09,AMZN,210.45,213.82,207.11,213.49,54642930
2026-03-06,AMZN,214.99,217.32,212.53,213.21,51152720
2026-03-05,AMZN,215.98,220.47,215.59,218.94,60943450
2026-03-04,AMZN,210.47,217.54,210.15,216.82,54731100
2026-03-27,AAPL,253.9,255.493,248.07,248.8,47899998
2026-03-30,AAPL,250.07,250.87,245.51,246.63,39446015
2026-03-31,AAPL,247.91,255.48,247.101,253.79,49597194
2026-04-01,AAPL,254.08,256.18,253.33,255.63,40059432
2026-04-02,AAPL,254.2,256.13,250.65,255.92,31288896
2026-03-27,MSFT,361.9,362.45,356.51,356.77,37883339
2026-03-30,MSFT,361.895,365.36,356.28,358.96,44796943
2026-03-31,MSFT,364.55,372.9,363.07,370.17,45244365
2026-04-01,MSFT,373.49,373.99,368.2,369.37,29417170
2026-04-02,MSFT,367.205,373.64,364.15,373.46,24099051
2026-03-27,GOOGL,277.275,279.37,273.95,274.34,35890587
2026-03-30,GOOGL,276.42,277.09,272.11,273.5,35141152
2026-03-31,GOOGL,278.04,288.08,277.09,287.56,43874512
2026-04-01,GOOGL,290.835,300.52,290.41,297.39,37684316
2026-04-02,GOOGL,290.69,298.08,289.45,295.77,21666340
2026-03-27,TSLA,369.69,369.86,359.47,361.83,62065657
2026-03-30,TSLA,365.86,367.29,352.14,355.28,67954345
2026-03-31,TSLA,361.51,373.33,361.0,371.75,75534934
2026-04-01,TSLA,378.63,383.14,374.08,381.26,58683689
2026-04-02,TSLA,364.195,370.28,359.03,360.59,83031226
2026-03-27,NVDA,170.0,170.97,167.01,167.52,196212681
2026-03-30,NVDA,168.78,169.45,164.27,165.17,185626992
2026-03-31,NVDA,166.97,174.62,166.96,174.4,226181292
2026-04-01,NVDA,176.0,177.37,174.75,175.75,168131960
2026-04-02,NVDA,172.18,177.49,171.37,177.39,143143134
2026-03-27,META,540.1,543.5999,520.26,525.72,30132953
2026-03-30,META,536.38,539.55,528.54,536.38,22795139
2026-03-31,META,549.98,573.69,546.77,572.13,32898217
2026-04-01,META,580.13,592.5465,573.82,579.23,23608014
2026-04-02,META,566.035,578.5,559.7,574.46,13518524
2026-03-27,AMZN,206.455,206.6,199.14,199.34,56009524
2026-03-30,AMZN,201.48,203.8,199.9802,200.95,46373726
2026-03-31,AMZN,204.845,210.28,204.14,208.27,58470060
2026-04-01,AMZN,210.435,213.58,208.19,210.57,45955165
2026-04-02,AMZN,206.54,212.2125,204.9,209.77,31453039
